handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand,geko_category_id,geko_category_name,geko_category_path,mapping_timestamp
product_9ac3d85c-f775-5f69-2ace-f7e8550b8c93,Product,Parka Impermiável Reflectora,<p>Ajuste de fecho e velcro na aba; Dois bolsos nas laterais em velcro e bolso no peito para telemóvel e bolsos para cartão identificador; Elástico nas mangas ; ajuste de punho em velcro; carapuço Certificado: EN ISO 20471:2013; EN ISO 343:2003</p><p></p><p>Carateristicas:</p><p></p><p>Composição : Poliester/PU</p><p></p><p>Interior : Forro em tecido tafetá com acolchoamento</p>,88efbe_1d905753afc941c58cb068d278426a88~mv2.jpg,Proteção e Segurança,,,20.55,,TRUE,PERCENT,0,InStock,,,Medidas,DROP_DOWN,BL55 - 2XL;BL55 - XL;BL55- L;BL55- M;BL55- S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110003,Protective Clothing,Health and Safety Articles\Protective Clothing,2025-06-27T13:51:14.638516
product_a965b336-81d5-6811-e4d0-741d90d98ee4,Product,Espatula em  ABS  - 250MM,<p>Caixa interior de 10 unid.</p><p>&nbsp;</p><p>Disponivel em Lisa Ou dentada 8x8mm</p><p>&nbsp;</p>,88efbe_e96c842fcaf444bc8d56318d46b1c56f~mv2.jpg,Construção,,,0.99,,TRUE,PERCENT,0,InStock,,,Medidas,DROP_DOWN,A0957 - Lisa;A0957-8- Dentada 8x8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110006,Trowels and Spatulas,Construction and Renovation\Hand Tools\Trowels and Spatulas,2025-06-27T13:51:14.638575
product_a965b336-81d5-6811-e4d0-741d90d98ee4,Variant,,,,,,,,,TRUE,,,InStock,,,,,A0957 - Lisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a965b336-81d5-6811-e4d0-741d90d98ee4,Variant,,,,,,,,0.11,TRUE,,,InStock,,,,,A0957-8- Dentada 8x8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a40657d3-9c86-65b3-8af9-9a0138aa427b,Product,Talocha para pavimentos INOX 500 MM -A5717,<p>cx interior de 2 unid.</p><p>&nbsp;</p><p><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>Espátula de aço inoxidável para betonilhas TytanX.</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p><p><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>Para fazer pisos.<br>A parte funcional é feita de aço inoxidável.<br>Cabo de borracha sobre pé de alumínio.</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p>,88efbe_8bd8e8d1243f48058f59f6e84da5d0ea~mv2.jpg,Construção,,Destak,9.85,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110006,Trowels and Spatulas,Construction and Renovation\Hand Tools\Trowels and Spatulas,2025-06-27T13:51:14.638641
product_268a7af9-b012-627e-ea3a-3754709d08f2,Product,Talocha para estucador Inox 110x240MM,<p><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>Talocha para Estucador&nbsp; (veneziana) em aço inoxidável.</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p><p><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>Para estuque de gesso.<br>Cantos arredondados com bordas dobradas.<br>A parte funcional é feita de aço inoxidável 0H18N9 com baixo teor de carbono.<br>Não deixa marcas durante o trabalho.<br>Cabo ergonômico de dois componentes sobre pé de alumínio.</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p>,88efbe_e3f0b8ef1ead4fe8b81d0615d3fd3130~mv2.jpg,Construção,,,10.99,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110006,Trowels and Spatulas,Construction and Renovation\Hand Tools\Trowels and Spatulas,2025-06-27T13:51:14.638684
product_ba65f851-8969-aed0-f061-fd03517e279d,Product,Espatula / Colher para Estucador Inox 100mm - A1704,<p>Cx interior de 12 unid.</p><p>&nbsp;</p><p><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>Espátula de estuque em aço inoxidável.</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p><p><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>Para acabamentos e trabalhos de estuque.<br>Cabo ergonômico de dois componentes.</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p>,88efbe_92c5e241673540e5a52816808463ed58~mv2.jpg,Construção,,,1.99,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110006,Trowels and Spatulas,Construction and Renovation\Hand Tools\Trowels and Spatulas,2025-06-27T13:51:14.638930
product_4b058737-873d-9f18-416f-35bf6052f7be,Product,Espatula em ABS 250 MM,<p>Espatula para colas e argamassas em plástico ABS resistente à abrasão</p>,88efbe_3a0afa69331e4657b801aa1c3b5334c5~mv2.jpg,Construção,,,0.99,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110006,Trowels and Spatulas,Construction and Renovation\Hand Tools\Trowels and Spatulas,2025-06-27T13:51:14.639116
product_262a9b79-f609-ec0e-54ca-59255b4e40a0,Product,Talocha de Grosa Endurecida 120 x 375mm - A3701,<p><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>Talocha raspadora de poliestireno TytanX.</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p><p><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>Espátula de plástico.<br>Cabo ergonômico de dois componentes.</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p><p><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>Tampo em chapa galvanizada com furos e reforço especial para evitar deformações.<br>A espátula destina-se ao nivelamento de juntas de placas de poliestireno durante trabalhos de isolamento.</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p><p><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>Muito leve e funcional.</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p>,88efbe_e9a2c7f013ae441d80133d5646618a2f~mv2.jpg,Construção,,,5.99,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110006,Trowels and Spatulas,Construction and Renovation\Hand Tools\Trowels and Spatulas,2025-06-27T13:51:14.639213
product_39a805c2-7e3c-92e9-2b0b-33f7cc26ab4d,Product,Talocha de Grosa Metalica 120x270mm - A3672,<p>Caixa interior de 10 unid.</p><p>&nbsp;</p><p><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>Espátula de grosa TytanX.</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p><p><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>Espátula de plástico.<br>Cabo ergonômico de dois componentes.<br>Tampo em chapa galvanizada com furos.<br>A espátula destina-se ao nivelamento de juntas de placas de poliestireno durante trabalhos de isolamento.</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p>,88efbe_46f7601e978d47389cbe1bbba2a03e06~mv2.jpg,Construção,,,2.99,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110006,Trowels and Spatulas,Construction and Renovation\Hand Tools\Trowels and Spatulas,2025-06-27T13:51:14.639331
