handle_id,product_name,sku,price,category_id,category_name,category_path,has_variants,notes
,Flange Preta Flexível 125 MM x M14 -[AG00324],,1.99,110009,Abrasive Accessories,Abrasive Materials\Accessories,Sim,
,Extensão Eléctrica 25Mts x 2.5mm Bobine [900338],,27.99,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Extensão Eléctrica 3x1.5mm - Laranja ,,6.99,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,"Extensão Elétrica 25 mts x 2,5mm bobine em Metal",,33,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Raspador Leiria sem cabo,,8,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Pá Cabo de Madeira modelo Bufalo,,15.6,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Cabo Metálico com Cunha p/ gadanha,,14,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Cabo Metálico com Parafuso,,14.38,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Machadinha Rola com cabo,,14,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Machadinha Lisa com Cabo,,13.8,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Machadinha Poda com Cabo ( + pequeno),,11.2,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Forquilha com cabo metálico,,20.5,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Forquilha com cabo madeira,,21,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Sacho com Cabo,,4.85,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Maço de borracha preta com cabo em madeira envernizada,,0.95,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Maço de borracha branca com cabo em madeira envernizada,,2.1,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Maço de borracha branca profissional com cabo em fibra de vidro,,2.75,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Machadinha 600g profissional  com cabo em fibra de vidro,,5.99,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Machado 1600g profissional com cabo em fibra de vidro,,11.5,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Mini picareta 400g pá/bico com cabo em fibra de vidro,,3.99,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Marreta Martelo de campo de 910mm com cabo em fibra de vidro,,14.99,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Maceta 1kg cromada profissional com cabo em fibra de vidro,,5.99,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Martelo de campo profissional com cabo em fibra de vidro,,5.99,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Martelo  Maquinista profissional com cabo em fibra de vidro,,2.95,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Faz tudo 600 Gr polido profissional com cabo em fibra de vidro,,5.99,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Martelo cofragem 750g profissional com cabo fibra de vidro com cabeça magnética,,5.99,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Martelo tipo americano profissional com cabo em fibra de vidro,,2.79,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Martelo de bola profissional com cabo em fibra de vidro,,3.2,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Martelo de cofragem 600g com cabo em fibra de vidro e cabeça magnética,,5.99,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Cabo de fibra Grande Picareta / Marreta 910 mm,,5.49,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Cabo de fibra - faz tudo / martelo / cofragem,,1.39,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Picareta profissional sem cabo,,5.99,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Carreto com cabo de aço 10mts -  450 kg,,17.99,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Cabo de bateria 600A profissional - 4 metros,,10.99,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,"Cabo extensível para serrote de poda ""AR""",,3.99,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Tesoura vindima profissional cabo borracha,,3.45,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,cabo de fibra para picareta - redondo,,5.5,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Picareta profissional sem cabo,,5.99,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Mini picareta pá & bico - Picadeira cabo de fibra,,5.55,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Pás em Cabo Metal em Bico / Quadrada,,5.99,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Pá metálica quadrada - cabo de madeira e punho ABS,,5.99,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Pás de bico / Quadrada cabo Madeira,,5.99,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Espátula de estucador dentada - cabo de borracha,,0,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Expositor de aço para 7 bobines,,0,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Cabo de aço inox,,55,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Cabo de aço revestido a plástico,,23.5,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Cabo de aço galvanizado,,17.89,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Serra cabos em aço inox 3mm,,0.39,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Serra cabos em aço galvanizado,,3.2,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Escova arame de aço com cabo de plástico,,0.89,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,Sim,
,Disco Polimento com Velcro 125 MM x M14 [AG78901],,1.99,110007,Cutting Discs,Abrasive Materials\Cutting Discs,Sim,
,"Disco corte Madeira, Plst, Gesso Cartonado 125x22.2mm",,4.49,110007,Cutting Discs,Abrasive Materials\Cutting Discs,Sim,
,Disco diamantado Ceramica 115mm,,3.99,110007,Cutting Discs,Abrasive Materials\Cutting Discs,Sim,
,Disco diamantado - especial Madeira 115mm,,4.5,110007,Cutting Discs,Abrasive Materials\Cutting Discs,Sim,
,Disco segmentado profissional multiusos,,1.79,110007,Cutting Discs,Abrasive Materials\Cutting Discs,Sim,
,Disco diamantado cerâmica extra retificadora / rebarbadora,,4.25,110007,Cutting Discs,Abrasive Materials\Cutting Discs,Sim,
,Disco diamantado turbo para retificadora / rebarbadora,,1.39,110007,Cutting Discs,Abrasive Materials\Cutting Discs,Sim,
,Disco de 2 pontas curvas para roçadora - corte de silvas,,2.99,110007,Cutting Discs,Abrasive Materials\Cutting Discs,Sim,
,Disco pastilhado para roçadora - corte de mato,,2.99,110007,Cutting Discs,Abrasive Materials\Cutting Discs,Sim,
,Disco de corte para madeira 140x20x24T,,1.99,110007,Cutting Discs,Abrasive Materials\Cutting Discs,Sim,
,Disco de corte para madeira 40 dentes,,0,110007,Cutting Discs,Abrasive Materials\Cutting Discs,Sim,
,Disco de corte para madeira 30 dentes,,0,110007,Cutting Discs,Abrasive Materials\Cutting Discs,Sim,
,Disco corte madeira 230x30x24T,,3.79,110007,Cutting Discs,Abrasive Materials\Cutting Discs,Sim,
,Disco para máquina de cortar azulejo,,0,110007,Cutting Discs,Abrasive Materials\Cutting Discs,Sim,
,Laminas pretas SK5 -18mm [10pcs] para Xizato -[890088/2],,1.6,110011,Cutting Tools,Tools for The Workshop and Garage\Cutting Tools,Sim,
,Faca de alcatifa Profissional  5 Laminas Autoload,,4.77,110011,Cutting Tools,Tools for The Workshop and Garage\Cutting Tools,Sim,
,Lamina para Xizato 9mm,,0.29,110011,Cutting Tools,Tools for The Workshop and Garage\Cutting Tools,Sim,
,Xizato  Lâmina Preta 18MM em Blister,,1.1,110011,Cutting Tools,Tools for The Workshop and Garage\Cutting Tools,Sim,
,Lâminas para Xizato de 18mm,,0.69,110011,Cutting Tools,Tools for The Workshop and Garage\Cutting Tools,Sim,
,Xizato com travão 18mm SK2,,0.99,110011,Cutting Tools,Tools for The Workshop and Garage\Cutting Tools,Sim,
,Xizato autoload com 3 laminas Blst + cx expositora ,,1.79,110011,Cutting Tools,Tools for The Workshop and Garage\Cutting Tools,Sim,
,Cintas de Elevação Plana Dupla- CERTIFICADO ,,2.89,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Maçarico Metalico com isqueiro 190 Gr,,13.49,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Máscara de Soldador AUTOMATIC [AK00291],,14.99,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Pistola de Selicone com Lâmina [AG00650],,1.99,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Projector LED - 6500K,,5.5,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Kit 4 pcs para Mangueira Rega [Borracha],,1.99,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,União Mangueira Rega Plástico ,,0.56,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Tomada Rápida  para Mangueira Rega,,0.6,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Adaptor de torneira para Mangueira Rega,,0.33,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,ÓCULOS de Proteção Pretos,,1.1,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Escova de Arame Galvanizado para Roçadora,,5.75,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Escova de Nylon para Roçadora 200x25.4mm para Limpeza Superficies,,9.35,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Pistola para Espuma PU ,,5.5,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Broca cónica escalonada HSS - TITANIO,,3,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Pulverizador 2L PRO,,3.49,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Pulverizador manual 5 L - PRO,,9.99,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Cinto Pedreiro com 11 Bolsas para Ferramentas ,,3.99,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,"Turques de carpinteiro 8"" / 200mm ",,3.5,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Misturador 120x600 Arga Massa c/ paraf. M14,,6.99,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Escova Latonada 4 filas com raspador ,,1.15,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Escopro com protecção 7cms [300×16mm],,3.5,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Suporte para  Mangueira em Plástico Verde,,1.99,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Marcador 4 cores Tinta Permanente em Blister ,,2.58,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Marcador Preto Tinta Permanente BLST 5pcs,,1.49,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Esticador Elástico com Gancho 12x1500mm conj. 2pcs,,2.35,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Correia de aperto com Tensor [vários Tamanhos],,2.62,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,X- acto com Lâmina 9mm,,0.39,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Máscara de soldador com pega ECO,,2.5,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Lápis Carpinteiro Oval 180mm HB,,0.16,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Pás Dobrável CAMPING - 4 em 1 com Bolsa,,2.99,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Calça trabalho com bolsos laterais 260gr,,14.99,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Bota proteção EXENA Sardegna  S3 em Pele PRO,,27.5,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Sapatilha ténis Ancla S1P NO METAL,,20.99,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Óculo de proteção [ para sobreposição de óculos],,1.95,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Óculo de Proteção Prof. Pretos,,1.99,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Óculo de proteção Prof. Transparente ,,1.99,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,Sapato Camurça S1P NO METAL,,17.99,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,"Serrote para Pladur 6"" Profissional ",,2.99,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
,"Serrote prof. cortar Ferro 12"" - 300 MM ",,3.99,110012,General Tools,Tools for The Workshop and Garage\General Tools,Sim,
