handleId,name,description,brand,sku,category
product_fa8449d8-55db-72f6-01c7-9f969d32670f,Fato de chuva Reflector,"""<p>Fatos de chuva reflector</p><p>Disponivel na cor Amarelo ou Laranja</p><p>Dispomos preço especial para caixas completas de 20unid.</p><p>Disponivel em Qualidade PU [ 50% PVC- 50% PU] Profissional ou Nylon </p><p>Disponivel nas  medidas M",,88efbe_86fc46a04fe0425ca165aaa99f5bfb69~mv2.jpg,
product_73603387-169e-a67a-92ad-7505d23845b9,Talocha ABS 140x280MM (3MM) P/ CAPOTO - A7901,"""<p><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>Espátula de plástico ABS – maior durabilidade da peça de trabalho.</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p><p><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>Espessura da talocha: 3mm&nbsp;</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p><p><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>Cabo ergonômico",,Construção,
product_98107d3e-75bd-eee6-91c6-c481f770aa2f,Espatula em Inox para Fachada com cabo PVC,"""<p>Caixa interior de 12unid</p><p>&nbsp;</p><p><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>ESPATULA DE FACHADA INOXIDÁVEL COM CABO DE PLÁSTICO</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p><div><p><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>Massa para fachada em aço inox",,Construção,
product_24b9a998-2cd0-a721-c991-3ff7640160f9,Luva menage Amarela,"""<p>Luva Látex Ménage Amarela  para uso doméstico",,Luvas de Protecção;Proteção e Segurança,FERMAN
product_9ebc8d00-e7d7-65b5-29d9-44e9371d8d45,Esponja Polimento Preta 150MMx45MM-M14  -[AG00327],"""<p>Embalado em Blister </p><p>Cx interior = 5pcs</p><p>Cx exterior =50pcs</p><p></p><p>Esponja de polimento preta 150 x 45 mm M14 - dura</p><p>Esponja de polimento multicamadas. A estrutura da esponja retém água em seu interior",,Discos;Construção;Geral,
product_269a09bd-0532-f23f-dfc3-f9aa57ad0499,Esponja Polimento Laranja 150MMx45MM-M14 -[AG00326] ,"""<p>Embalado em Blister </p><p>Cx interior = 5 unid</p><p>Cx Exterior =50unid</p><p></p><p>Esponja de polimento laranja 150 x 45 mm M14 - universal</p><p></p><p>Esponja de polimento multicamadas. A estrutura da esponja retém água em seu interior",,Discos;Construção;Geral,
product_eec7a75d-e551-e4f3-f823-33a1ef3b4b35,Flange Preta Flexível 125 MM x M14 -[AG00324],"""<p>Embalado em Blister</p><p>Cx Interior = 10pcs</p><p>Cx Exterior = 100pcs</p><p></p><p>Disco flexível para fibra de 125 mm M14x2</p><p>Projetado para  rebarbadoras  com  rosca de montagem M14 . Utilizado para lixar e limpar superfícies de metal e madeira com discos de fibra.</p><p></p><p>Durante o trabalho",,Construção;Discos;Geral,
product_97c319d6-61f9-a92e-7d64-611862a1ed03,Disco Polimento com Velcro 125 MM x M14 [AG78901],"""<p>Embalado em Blister</p><p>Cx interior =10pcs</p><p>Cx exterior =100pcs</p><p></p><p>Disco para discos de polimento e lixas. O suporte de espuma utilizado no disco adapta-se à peça de trabalho",,Discos;Construção;Geral,
product_34a53ca4-a412-fbb4-4ed5-866309b1328c,Maçarico Metalico com isqueiro 190 Gr,"""<p></p><p>Maçarico a gás com ignição PIEZO</p><p>É movido a gás propano-butano em cartuchos de 190g.</p><p></p><p>queimador com potência de 1",,Construção;Oficina Mecânica,
product_2cd2094c-6a89-cd87-6029-94104a0870ba,Pistola de Selicone com Lâmina [AG00650],"""<p>para tubos",,Construção,
product_a609772b-ec0d-e52a-de12-3608de453363,Projector LED - 6500K,"""<p>Lâmpada LED potente que não aquece",,88efbe_20d39eaed75e45d3ba407bf6319ef14d~mv2.jpeg,
product_a5b01833-a90a-679b-3df5-e0d281a0ce51,Marcador 4 cores Tinta Permanente em Blister ,"""<p>Ideal para várias áreas da construção </p><p>Marcação para Canalização",,88efbe_5655d909fe964b009c0e823575ed37a3~mv2.jpeg,
product_0c22094b-b9e7-e8a0-dbdf-1fe566c88088,Esticador Elástico com Gancho 12x1500mm conj. 2pcs,"""<p>Em Blister conjunto 2pcs</p><p>Elástico profissional</p><p>Maior grossura",,Geral;Oficina Mecânica,
product_8eb8e8fd-42b1-ff31-6e1a-3d06ab3cdd45,Lápis Carpinteiro Oval 180mm HB,"""<p>Lápis de carpinteiro com recarga de grafite",,Geral,
product_9feada4a-3740-db56-6c25-c93c4dc9fb4f,"Extensão Elétrica 25 mts x 2,"5mm bobine em Metal""",,Eletricidade,
product_9905841e-3cad-af6b-7a7a-26e9987ca6d6,Calça trabalho com bolsos laterais 260gr,"""<p>Calça de trabalho em sarja 260gr.</p><p>Excelente qualidade </p><p>Disponível nas cores Azul Marinho",,Proteção e Segurança,
product_e593c0dc-3c7d-5d24-7465-098f9bfa9a74,Bota proteção EXENA Sardegna  S3 em Pele PRO,"""<p>Material = Pele natural impermeável a salpicos de água",,Proteção e Segurança,
product_4678be47-ffc9-5f67-3bda-86d9469da4ba,Luva ANTI CORTE CINZA ,"""<p>Luva anti corte em lycra com fibras sintéticas com palma em PU</p><p></p><p>NIVEL DE RESISTÊNCIA </p><p>Abrasão = nivel 4</p><p>Corte = nivel 5</p><p>Rasgo = nivel 4</p><p>Perfuração = nivel 4</p><p></p><p>Disponível em tamanho 8",,Luvas de Protecção;Proteção e Segurança,
product_9e2134ff-f690-f721-a3fe-5d9402f01c69,Colete Multibolsos ,"""<p>Colete em sarja de 200g. Fecho de correr frontal",,Proteção e Segurança,
product_4008f18d-0514-3f41-5f6f-d4875d6e445f,Blusão impermeável reflector,"""<p>Ajuste de fecho e velcro na aba; Dois bolsos nas laterais com fecho; Elástico na cintura e nas mangas; forro polar; carapuço Certificado: EN ISO 20471",,Proteção e Segurança,
product_37668e17-27f6-3445-76eb-03a35388ec44,Colete Multibolsos reflector,"""<p>Colete reflector de alta visibilidade multi-bolsos",,Proteção e Segurança,
product_30c987fa-0e6a-b034-9da8-ff0d31e47ea1,Fato chuva Nylon - Economic,"""<p>Disponível em todos Tamanhos M",,55dd72_a66db5ba3cd542258631e91b26fdf427~mv2.jpg;55dd72_bea3b7d5cca14da7b1e0db402b09fffb~mv2.jpg,
product_d61d47b8-ccf3-d407-062f-49ae48412c25,Capacete Protecção- todas as cores,"""<p>Capacete fabricado em polietileno de alto Impacto PEDH.",,55dd72_5e5d81e8966c476e83d7d76871cfc81a~mv2.jpg;55dd72_e7d8032fb5b14137a13c25a55efb8375~mv2.jpg;55dd72_0215e1226846418bacd7864950b9a379~mv2.jpg;55dd72_01af216f74424e549ae88d47fc14a260~mv2.jpg;55dd72_c6096f7d268b4438aa1a1c64410502d2~mv2.jpg;55dd72_7b6a952f21e54a15afb1538701346408~mv2.jpg,
product_25e8a606-29c9-c326-15ce-687ce1f51260,"Pecliss aço - 150 x 0,"2mm""",,Oficina Mecânica,
product_7622d06a-8513-430e-9229-98eaaab556b7,Bomba elétrica para pulverizador de 16L,"""<p>Tiragem: 3",,Jardim,
product_2086cfa9-6d3e-d2a7-d0a0-b054402c0698,"Aspersor rotativo resistente," espiga com 3 saídas""",,Jardim,
