internal_ean,name_pt,brand,base_cost,created_at,is_active,observacoes
INT_13C907,Brocas H.S.S. -Conj. 5pcs - DIN 338,AliTools,0.0000,2025-06-27 17:22:00.230314+00:00,True,REMOVER DA IMPORTACAO ATIVA - Aguarda análise
INT_224786,Expositor de aço para 7 bobines,AliTools,0.0000,2025-06-27 17:22:03.133548+00:00,True,REMOVER DA IMPORTACAO ATIVA - Aguarda análise
INT_256A85,Correia aperto com tensor para camião,AliTools,0.0000,2025-06-27 17:21:59.944708+00:00,True,REMOVER DA IMPORTACAO ATIVA - Aguarda análise
INT_4283F2,Comedouro para Galinhas Lacado,AliTools,0.0000,2025-06-27 17:21:51.498512+00:00,True,REMOVER DA IMPORTACAO ATIVA - Aguarda análise
INT_537B65,Disco de corte para madeira 30 dentes,AliTools,0.0000,2025-06-27 17:22:01.525579+00:00,True,REMOVER DA IMPORTACAO ATIVA - Aguarda análise
INT_5B1B39,Traçador de reta + pó de traçar azul,AliTools,0.0000,2025-06-27 17:22:01.298255+00:00,True,REMOVER DA IMPORTACAO ATIVA - Aguarda análise
INT_5B3471,Canhão de Segurança Cromado,AliTools,0.0000,2025-06-27 17:22:04.038335+00:00,True,REMOVER DA IMPORTACAO ATIVA - Aguarda análise
INT_75924C,Pulverizador,AliTools,0.0000,2025-06-27 17:22:01.020465+00:00,True,REMOVER DA IMPORTACAO ATIVA - Aguarda análise
INT_8C2830,Tesourão de poda curvo telescópico extensível,AliTools,0.0000,2025-06-27 17:22:00.684038+00:00,True,REMOVER DA IMPORTACAO ATIVA - Aguarda análise
INT_C37C4C,Disco de corte para madeira 40 dentes,AliTools,0.0000,2025-06-27 17:22:01.487351+00:00,True,REMOVER DA IMPORTACAO ATIVA - Aguarda análise
INT_C6C7E2,Tesourão poda profissional extensível,AliTools,0.0000,2025-06-27 17:22:00.721417+00:00,True,REMOVER DA IMPORTACAO ATIVA - Aguarda análise
INT_CA2557,Espátula de estucador dentada - cabo de borracha,AliTools,0.0000,2025-06-27 17:22:02.907227+00:00,True,REMOVER DA IMPORTACAO ATIVA - Aguarda análise
INT_E5A16C,Chave de parafusos fenda CRV ponta magnética,AliTools,0.0000,2025-06-27 17:21:59.607767+00:00,True,REMOVER DA IMPORTACAO ATIVA - Aguarda análise
INT_EBB0BE,Disco para máquina de cortar azulejo,AliTools,0.0000,2025-06-27 17:22:01.603484+00:00,True,REMOVER DA IMPORTACAO ATIVA - Aguarda análise
