geko_category_id,name,path,parent_geko_category_id
105266,Hydraulic Lifts,Spare Parts\Hydraulic Lifts,
105267,Welders and Mig Machines,Spare Parts\Welders and Mig Machines,
105276,Other,Spare Parts\Other,
105268,Power Transmitter Shafts,Spare Parts\Power Transmitter Shafts,
105262,Compressors,Spare Parts\Compressors,
105264,Petrol Lawn Mowers,Spare Parts\Petrol Lawn Mowers,
105273,Electric Winches,Spare Parts\Electric Winches,
105265,Plasterboard Lifter,Spare Parts\Plasterboard Lifter,
105269,Car Polishers,Spare Parts\Car Polishers,
107802,Pipe Crimpers and Accessories,Tools for Plumbers\Pipe Crimpers and Accessories,
105272,Hydraulic Pullers,Spare Parts\Hydraulic Pullers,
105270,Cabin and Siphon Sandblasters,Spare Parts\Cabin and Siphon Sandblasters,
105275,Hydraulic Presses,Spare Parts\Hydraulic Presses,
105274,Combustion Engines,Spare Parts\Combustion Engines,
105644,Renovators,Spare Parts\Renovators,
105643,Jigsaws for Wood,Spare Parts\Jigsaws for Wood,
105288,Reciprocating Saws,Spare Parts\Reciprocating Saws,
105642,Angle Grinders,Spare Parts\Angle Grinders,
105634,Heaters,Spare Parts\Heaters,
105281,Pipe and Plastic Welders,Tools for Plumbers\Pipe and Plastic Welders,
105645,Motor Pumps,Spare Parts\Motor Pumps,
106018,Electric Impact Wrenches,Spare Parts\Electric Impact Wrenches,
105641,Combustion Augers,Spare Parts\Combustion Augers,
105271,Combustion Sprayers,Spare Parts\Combustion Sprayers,
107741,Animal Clippers,Household Items\Animal Clippers,
107897,Trimming,Garden\Trimming,
105655,Petrol Tillers,Spare Parts\Petrol Tillers,
105654,Combustion Blowers,Spare Parts\Combustion Blowers,
107712,Garden,Garden,
107841,Cutting and Grinding Discs,Cutting Tools\Cutting and Grinding Discs,
107847,Metal Grinding Discs,Cutting Tools\Cutting and Grinding Discs\Metal Grinding Discs,
107842,Carbide-free Discs for Cutting Wood,Cutting Tools\Cutting and Grinding Discs\Carbide-free Discs for Cutting Wood,
107844,For Wood,Cutting Tools\Discs With Tungsten Carbide Blade\For Wood,
105582,Reductions for Discs,Cutting Tools\Reductions for Discs,
107807,Diamond Discs for Cutting Building Materials,Cutting Tools\Diamond Tools\Diamond Discs for Cutting Building Materials,
105575,Flap Discs (Type 29 Conical),Abrasive Materials\Flap Discs (Type 29 Conical),
105574,Felt Discs,Abrasive Materials\Felt Discs,
105573,Velcro Pads,Abrasive Materials\Velcro Pads,
107851,Sponges and Polishing Pads,Abrasive Materials\Sponges and Polishing Pads,
107865,125mm,Abrasive Materials\Discs for Orbital-rotary Sanders\125mm,
105569,Endless Abrasive Belts,Abrasive Materials\Endless Abrasive Belts,
107848,Stone Grinding Discs,Cutting Tools\Cutting and Grinding Discs\Stone Grinding Discs,
105587,Sharpening Discs,Abrasive Materials\Sharpening Discs,
107856,Non-woven Fabrics for Cleaning,Abrasive Materials\Brushes\Non-woven Fabrics for Cleaning,
107705,Construction and Renovation,Construction and Renovation,
105277,Power Tools,Power Tools,
107045,Gears,Power Tools\Spare Parts for Power Tools\Gears,
107046,Gears,Power Tools\Spare Parts for Power Tools\Gears,
107868,Drill Accessories,Power Tools\Drill Accessories,
107828,Drills and Impact Chisels,Cutting Tools\Drilling\Drills and Impact Chisels,
107942,Impact Wrenches,Pneumatics\Impact Wrenches,
107941,Pneumatic Ratchets,Pneumatics\Pneumatic Ratchets,
107861,Butt Brushes With Crimped Wire,Abrasive Materials\Brushes\Butt Brushes With Crimped Wire,
107860,Butt Brushes With Braided Wire,Abrasive Materials\Brushes\Butt Brushes With Braided Wire,
