ean,geko_variant_stock_id,price_type,net_value,gross_value,currency
5901477140723,1,variant_standard,2.18,2.18,PLN
5901477140723,,base_product_standard,2.18,2.18,PLN
5901477128028,1,variant_standard,6.71,6.71,PLN
5901477128028,,base_product_standard,6.71,6.71,PLN
5901477140730,1,variant_standard,1.44,1.44,PLN
5901477140730,,base_product_standard,1.44,1.44,PLN
5901477140747,1,variant_standard,0.82,0.82,PLN
5901477140747,,base_product_standard,0.82,0.82,PLN
5901477140754,1,variant_standard,1.87,1.87,PLN
5901477140754,,base_product_standard,1.87,1.87,PLN
5901477140761,1,variant_standard,12.55,12.55,PLN
5901477140761,,base_product_standard,12.55,12.55,PLN
5901477128882,1,variant_standard,13.9,13.9,PLN
5901477128882,,base_product_standard,13.9,13.9,PLN
5901477128899,1,variant_standard,60.06,60.06,PLN
5901477128899,,base_product_standard,60.06,60.06,PLN
5901477128905,1,variant_standard,22.62,22.62,PLN
5901477128905,,base_product_standard,22.62,22.62,PLN
5901477128912,1,variant_standard,17.8,17.8,PLN
5901477128912,,base_product_standard,17.8,17.8,PLN
5901477128929,1,variant_standard,97.46,97.46,PLN
5901477128929,,base_product_standard,97.46,97.46,PLN
5901477128936,1,variant_standard,18.54,18.54,PLN
5901477128936,,base_product_standard,18.54,18.54,PLN
5901477128943,1,variant_standard,2.9,2.9,PLN
5901477128943,,base_product_standard,2.9,2.9,PLN
5901477128950,1,variant_standard,4.2,4.2,PLN
5901477128950,,base_product_standard,4.2,4.2,PLN
5901477128967,1,variant_standard,34.4,34.4,PLN
5901477128967,,base_product_standard,34.4,34.4,PLN
5901477128981,1,variant_standard,20.42,20.42,PLN
5901477128981,,base_product_standard,20.42,20.42,PLN
5901477128974,1,variant_standard,59.78,59.78,PLN
5901477128974,,base_product_standard,59.78,59.78,PLN
5901477128998,1,variant_standard,17.43,17.43,PLN
5901477128998,,base_product_standard,17.43,17.43,PLN
5901477129001,1,variant_standard,6.91,6.91,PLN
5901477129001,,base_product_standard,6.91,6.91,PLN
5901477140778,1,variant_standard,9.13,9.13,PLN
5901477140778,,base_product_standard,9.13,9.13,PLN
5901477129018,1,variant_standard,12.46,12.46,PLN
5901477129018,,base_product_standard,12.46,12.46,PLN
5901477129025,1,variant_standard,28.53,28.53,PLN
5901477129025,,base_product_standard,28.53,28.53,PLN
5901477130625,1,variant_standard,6.68,6.68,PLN
5901477130625,,base_product_standard,6.68,6.68,PLN
5901477130632,1,variant_standard,42.29,42.29,PLN
5901477130632,,base_product_standard,42.29,42.29,PLN
5901477130649,1,variant_standard,2.22,2.22,PLN
5901477130649,,base_product_standard,2.22,2.22,PLN
5901477130656,1,variant_standard,2.22,2.22,PLN
5901477130656,,base_product_standard,2.22,2.22,PLN
5901477130663,1,variant_standard,0.67,0.67,PLN
