ean,geko_variant_size_code,geko_variant_producer_code,geko_variant_stock_id,weight,gross_weight
5901477140723,C00049,5901477140723,1,90.00,0.00
5901477128028,C00050,5901477128028,1,3250.00,0.00
5901477140730,C00052,5901477140730,1,50.00,0.00
5901477140747,C00053,5901477140747,1,600.00,650.00
5901477140754,C00054,5901477140754,1,50.00,0.00
5901477140761,C00056,5901477140761,1,2900.00,3000.00
5901477128882,C00100,5901477128882,1,80.00,100.00
5901477128899,C00101,5901477128899,1,80.00,0.00
5901477128905,C00102,5901477128905,1,100.00,130.00
5901477128912,C00103,5901477128912,1,300.00,400.00
5901477128929,C00104,5901477128929,1,80.00,0.00
5901477128936,C00105,5901477128936,1,80.00,85.00
5901477128943,C00106,5901477128943,1,375.00,500.00
5901477128950,C00107,5901477128950,1,375.00,500.00
5901477128967,C00108,5901477128967,1,300.00,400.00
5901477128981,C00129,5901477128981,1,380.00,500.00
5901477128974,C00130,5901477128974,1,550.00,700.00
5901477128998,C00131,5901477128998,1,60.00,80.00
5901477129001,C00132,5901477129001,1,380.00,500.00
5901477140778,C00133,5901477140778,1,80.00,0.00
5901477129018,C00134,5901477129018,1,100.00,0.00
5901477129025,C00135,5901477129025,1,12000.00,12000.00
5901477130625,C00150,5901477130625,1,80.00,0.00
5901477130632,C00151,5901477130632,1,80.00,0.00
5901477130649,C00152,5901477130649,1,80.00,0.00
5901477130656,C00153,5901477130656,1,80.00,0.00
5901477130663,C00154,5901477130663,1,80.00,0.00
5901477130670,C00155,5901477130670,1,80.00,0.00
5901477130687,C00156,5901477130687,1,80.00,0.00
5901477130694,C00157,5901477130694,1,150.00,160.00
5901477130700,C00158,5901477130700,1,80.00,0.00
5901477130717,C00159,5901477130717,1,80.00,0.00
5901477130724,C00160,5901477130724,1,80.00,0.00
5901477130731,C00161,5901477130731,1,80.00,0.00
5901477130748,C00162,5901477130748,1,80.00,0.00
5901477130755,C00163,5901477130755,1,200.00,210.00
5901477130762,C00164,5901477130762,1,100.00,110.00
5901477130779,C00165,5901477130779,1,80.00,0.00
5901477130786,C00166,5901477130786,1,80.00,0.00
5901477130793,C00167,5901477130793,1,80.00,0.00
5901477130809,C00168,5901477130809,1,80.00,0.00
5901477130816,C00169,5901477130816,1,80.00,0.00
5901477130823,C00170,5901477130823,1,200.00,0.00
5901477130830,C00171,5901477130830,1,200.00,0.00
5901477140785,C00200,5901477140785,1,458.00,500.00
5901477140877,C00300,5901477140877,1,1500.00,0.00
5901477140884,C00301,5901477140884,1,400.00,0.00
5901477140891,C00302,5901477140891,1,1500.00,0.00
5901477140907,C00303,5901477140907,1,1500.00,0.00
5901477140914,C00305,5901477140914,1,1200.00,0.00
5901477140921,C00307,5901477140921,1,1500.00,0.00
