product_id_products,geko_size_code,weight,gross_weight,product_name,category
1,SZ001,1.0,1.2,Produto Teste,Categoria Teste
1391,C00049,90.00,0.00,,Podnośniki hydrauliczne
1392,C00050,3250.00,0.00,,Podnośniki hydrauliczne
1393,C00052,50.00,0.00,,Podnośniki hydrauliczne
1394,C00053,600.00,650.00,,Podnośniki hydrauliczne
1395,C00054,50.00,0.00,,Podnośniki hydrauliczne
1396,C00056,2900.00,3000.00,,Podnośniki hydrauliczne
1397,C00100,80.00,100.00,,Spawarki i migomaty
1398,C00101,80.00,0.00,,Spawarki i migomaty
1399,C00102,100.00,130.00,,Spawarki i migomaty
1400,C00103,300.00,400.00,,Spawarki i migomaty
1401,C00104,80.00,0.00,,Spawarki i migomaty
1402,C00105,80.00,85.00,,Spawarki i migomaty
1403,C00106,375.00,500.00,,Spawarki i migomaty
1404,C00107,375.00,500.00,,Spawarki i migomaty
1405,C00108,300.00,400.00,,Spawarki i migomaty
1406,C00129,380.00,500.00,,Spawarki i migomaty
1407,C00130,550.00,700.00,,Spawarki i migomaty
1408,C00131,60.00,80.00,,Spawarki i migomaty
1409,C00132,380.00,500.00,,Spawarki i migomaty
1410,C00133,80.00,0.00,,Spawarki i migomaty
1411,C00134,100.00,0.00,,Spawarki i migomaty
1412,C00135,12000.00,12000.00,,Spawarki i migomaty
1413,C00150,80.00,0.00,,Spawarki i migomaty
1414,C00151,80.00,0.00,,Spawarki i migomaty
1415,C00152,80.00,0.00,,Spawarki i migomaty
1416,C00153,80.00,0.00,,Spawarki i migomaty
1417,C00154,80.00,0.00,,Spawarki i migomaty
1418,C00155,80.00,0.00,,Spawarki i migomaty
1419,C00156,80.00,0.00,,Spawarki i migomaty
1420,C00157,150.00,160.00,,Spawarki i migomaty
1421,C00158,80.00,0.00,,Spawarki i migomaty
1422,C00159,80.00,0.00,,Spawarki i migomaty
1423,C00160,80.00,0.00,,Spawarki i migomaty
1424,C00161,80.00,0.00,,Spawarki i migomaty
1425,C00162,80.00,0.00,,Spawarki i migomaty
1426,C00163,200.00,210.00,,Spawarki i migomaty
1427,C00164,100.00,110.00,,Spawarki i migomaty
1428,C00165,80.00,0.00,,Spawarki i migomaty
1429,C00166,80.00,0.00,,Spawarki i migomaty
1430,C00167,80.00,0.00,,Spawarki i migomaty
1431,C00168,80.00,0.00,,Spawarki i migomaty
1432,C00169,80.00,0.00,,Spawarki i migomaty
1433,C00170,200.00,0.00,,Spawarki i migomaty
1434,C00171,200.00,0.00,,Spawarki i migomaty
1435,C00200,458.00,500.00,,Pozostałe
1436,C00300,1500.00,0.00,,Wałki przekaźnika mocy
1437,C00301,400.00,0.00,,Wałki przekaźnika mocy
1438,C00302,1500.00,0.00,,Wałki przekaźnika mocy
1439,C00303,1500.00,0.00,,Wałki przekaźnika mocy
1440,C00305,1200.00,0.00,,Wałki przekaźnika mocy
1441,C00307,1500.00,0.00,,Wałki przekaźnika mocy
1442,C00308,1000.00,0.00,,Wałki przekaźnika mocy
1443,C00312,1530.00,0.00,,Wałki przekaźnika mocy
1444,C00313,2200.00,0.00,,Wałki przekaźnika mocy
1445,C00314,1500.00,0.00,,Wałki przekaźnika mocy
1446,C00315,1500.00,0.00,,Wałki przekaźnika mocy
1447,C00350,150.00,160.00,,Kompresory
1448,C00354,100.00,110.00,,Kompresory
1449,C00355,100.00,110.00,,Kompresory
1450,C00356,12400.00,0.00,,Kompresory
1451,C00357,26600.00,0.00,,Kompresory
1452,C00360B,10.00,10.00,,Kompresory
1453,C00360E,300.00,300.00,,Kompresory
1454,C00360H,150.00,150.00,,Kompresory
1455,C00360J,100.00,100.00,,Kompresory
1456,C00360L,50.00,50.00,,Kompresory
1457,C00360R,100.00,0.00,,Kompresory
1458,C00360S,100.00,100.00,,Kompresory
1459,C00362,2000.00,2000.00,,Kompresory
1460,C00362A,10.00,10.00,,Kompresory
1461,C00362B,200.00,200.00,,Kompresory
1462,C00363,200.00,0.00,,Kompresory
1463,C00360O,200.00,0.00,,Kompresory
1464,C01000,130.00,130.00,,Kosiarki spalinowe
1465,C01001,194.00,0.00,,Kosiarki spalinowe
1466,C01002,2200.00,0.00,,Kosiarki spalinowe
1467,C01003,1020.00,0.00,,Kosiarki spalinowe
1468,C01004,400.00,0.00,,Kosiarki spalinowe
1469,C01005,194.00,0.00,,Kosiarki spalinowe
1470,C01006,100.00,110.00,,Kosiarki spalinowe
1471,C01007,500.00,0.00,,Kosiarki spalinowe
1472,C01009,0.00,0.00,,Kosiarki spalinowe
1473,C01011,200.00,0.00,,Kosiarki spalinowe
1474,C01014,150.00,0.00,,Kosiarki spalinowe
1475,C01015,10.00,10.00,,Kosiarki spalinowe
1476,C01016,194.00,0.00,,Kosiarki spalinowe
1477,C01017,490.00,0.00,,Kosiarki spalinowe
1478,C01018,100.00,110.00,,Kosiarki spalinowe
1479,C01019,500.00,0.00,,Kosiarki spalinowe
1480,C01020,150.00,160.00,,Kosiarki spalinowe
1481,C01022,100.00,110.00,,Kosiarki spalinowe
1482,C01023,194.00,0.00,,Kosiarki spalinowe
1483,C01024,5500.00,0.00,,Kosiarki spalinowe
1484,C01025,120.00,125.00,,Kosiarki spalinowe
1485,C01026,11000.00,12000.00,,Kosiarki spalinowe
1486,C01027,194.00,0.00,,Kosiarki spalinowe
1487,C01028,1950.00,2030.00,,Kosiarki spalinowe
1488,C01030,600.00,0.00,,Kosiarki spalinowe
1489,C01031,100.00,105.00,,Kosiarki spalinowe
1490,C01087-1,100.00,0.00,,Wciągarki elektryczne
1491,C01087-2,100.00,0.00,,Wciągarki elektryczne
