"categoryid","name","path","parent_id","created_at","updated_at"
"100017",,"Service Parts",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"100018",,"Spare Parts",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105262",,"Spare Parts\Compressors",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105264",,"Spare Parts\Petrol Lawn Mowers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105265",,"Spare Parts\Plasterboard Lifter",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105266",,"Spare Parts\Hydraulic Lifts",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105267",,"Spare Parts\Welders and Mig Machines",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105268",,"Spare Parts\Power Transmitter Shafts",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105269",,"Spare Parts\Car Polishers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105270",,"Spare Parts\Cabin and Siphon Sandblasters",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105271",,"Spare Parts\Combustion Sprayers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105272",,"Spare Parts\Hydraulic Pullers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105273",,"Spare Parts\Electric Winches",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105274",,"Spare Parts\Combustion Engines",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105275",,"Spare Parts\Hydraulic Presses",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105276",,"Spare Parts\Other",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105277",,"Power Tools",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105281",,"Tools for Plumbers\Pipe and Plastic Welders",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105284",,"Power Tools\Bench Drills",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105285",,"Power Tools\Screwdrivers and Impact Wrenches",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105288",,"Spare Parts\Reciprocating Saws",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105289",,"Power Tools\Other Power Tools",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105300",,"Tools for Plumbers\The Other",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105315",,"Joining Tools\Mass Squeezers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105325",,"Tools for Plumbers\Hydraulic Pipe Benders",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105326",,"Tools for Plumbers\Pipe Threaders and Accessories",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105327",,"Tools for Plumbers\Pipe Cutters",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
